Год выпуска,КПП,Мощность,Объём,Привод,Пробег,Руль,Тип кузова,Топливо,Цвет,Цена
1995.0,механика,150.0,2.0,задний,,,седан,бензин,бордовый,4900.0
1993.0,автомат,125.0,2.8,полный подключаемый,268701.0,правый,внедорожник / пикап,дизель,синий,6000.0
1997.0,автомат,190.0,2.0,,220000.0,правый,седан,бензин,серебряный,3100.0
2009.0,механика,298.0,3.0,полный подключаемый,120000.0,левый,универсал,дизель,черный,17000.0
2004.0,механика,160.0,3.0,полный подключаемый,200000.0,левый,внедорожник / пикап,дизель,темно-синий,7000.0
2003.0,автомат,250.0,3.0,передний,128024.0,правый,седан,бензин,,6142.0
2009.0,автомат,270.0,2.7,передний,150000.0,левый,кроссовер,бензин,белый,13500.0
2004.0,автомат,175.0,2.5,полный подключаемый,,правый,универсал,газ-бензин,,6342.0
2004.0,автомат,175.0,2.5,полный подключаемый,,правый,универсал,газ-бензин,,6342.0
2004.0,автомат,175.0,2.5,полный подключаемый,,правый,универсал,газ-бензин,,6342.0
2004.0,автомат,130.0,1.7,полный подключаемый,130000.0,правый,хэтчбек,бензин,белый,4600.0
1993.0,механика,,2.0,передний,,левый,универсал,бензин,синий,2400.0
2003.0,автомат,160.0,2.4,передний,200.0,правый,кроссовер,бензин,серебряный,8700.0
2004.0,автомат,,1.3,,,правый,универсал,бензин,дипломат,3399.0
2008.0,механика,122.0,1.6,передний,142000.0,левый,хэтчбек,бензин,темно-синий,7000.0
2001.0,автомат,210.0,3.0,передний,194.0,правый,минивэн / бус,бензин,белый жемчуг,4500.0
1992.0,механика,136.0,2.3,задний,,левый,седан,бензин,белый,2285.0
2002.0,автомат,201.0,3.0,постоянный полный,156222.0,левый,кроссовер,газ-бензин,серебряный,8700.0
1996.0,автомат,220.0,3.2,задний,300000.0,левый,седан,бензин,зеленый,3500.0
1994.0,механика,,2.5,задний,,,минивэн / бус,дизель,синий,2300.0
2008.0,механика,,2.2,задний,,левый,минивэн / бус,дизель,белый,13000.0
2006.0,автомат,158.0,2.3,передний,150000.0,левый,седан,бензин,черный,5200.0
2001.0,автомат,,17.0,передний,17000.0,правый,седан,бензин,белый жемчуг,4000.0
2004.0,автомат,157.0,2.4,постоянный полный,,левый,седан,бензин,серебряный,9000.0
2002.0,автомат,150.0,2.3,передний,,правый,минивэн / бус,бензин,белый жемчуг,4300.0
2006.0,автомат,276.0,3.5,постоянный полный,1.0,левый,кроссовер,бензин,черный,14800.0
2007.0,автомат,276.0,3.5,постоянный полный,1.0,левый,кроссовер,бензин,черный,14800.0
2005.0,автомат,,3.3,,147000.0,левый,седан,бензин,серебряный,10700.0
2007.0,автомат,355.0,4.8,постоянный полный,,левый,кроссовер,бензин,серебряный,14700.0
2000.0,вариатор,60.0,1.0,передний,300000.0,правый,хэтчбек,бензин,серый,1428.0
,автомат,,,передний,300.0,правый,минивэн / бус,бензин,,4000.0
2000.0,механика,165.0,2.0,постоянный полный,,левый,универсал,бензин,серебряный,3200.0
2000.0,автомат,160.0,3.0,полный подключаемый,300000.0,левый,внедорожник / пикап,дизель,золотой,10500.0
2003.0,автомат,,2.4,передний,125000.0,правый,седан,бензин,белый жемчуг,6800.0
2005.0,автомат,174.0,2.5,полный подключаемый,176000.0,левый,внедорожник / пикап,дизель,серый,11000.0
1991.0,механика,109.0,2.0,передний,,левый,седан,бензин,мокрый асфальт,1071.0
2002.0,автомат,,1998.0,постоянный полный,195000.0,правый,универсал,бензин,белый жемчуг,4000.0
2004.0,автомат,175.0,2.5,постоянный полный,,правый,универсал,бензин,серебряный,6200.0
2007.0,автомат,388.0,5.5,постоянный полный,140000.0,левый,седан,бензин,черный,18500.0
1992.0,механика,133.0,2.3,передний,,левый,седан,бензин,зеленый,2142.0
2005.0,механика,122.0,1.8,передний,227360.0,левый,универсал,бензин,зеленый,385.0
2006.0,типтроник,,3.0,задний,155600.0,левый,седан,бензин,белый жемчуг,10300.0
2004.0,типтроник,245.0,3.7,задний,250000.0,левый,седан,бензин,черный,8500.0
2001.0,автомат,152.0,2.4,передний,206000.0,,седан,бензин,баклажан,7010.0
2000.0,автомат,150.0,2.3,передний,180000.0,,универсал,бензин,черный,3800.0
2005.0,автомат,306.0,5.0,задний,80000.0,левый,кабриолет,бензин,черный,11000.0
2002.0,автомат,152.0,2.4,передний,201078.0,,седан,бензин,бордовый,6900.0
